customer_id,Sub_flag,subscription,Recency_flag,Refreq,points
3347120,25,0,5,0,3
3436944,25,0,5,5,7
3461136,25,0,4,4,24
3492160,25,0,5,0,3
3510080,25,0,4,4,5
3575712,25,0,5,4,5
3601920,25,0,5,5,9
3609312,25,0,5,0,6
3614016,25,0,5,0,8
3659712,25,0,5,0,6
3665760,25,0,5,0,4
3680992,25,0,5,0,3
3698240,25,0,5,5,14
3698800,25,0,5,0,6
3742032,25,0,4,5,15
3742928,25,0,4,0,4
3888528,25,0,3,4,7
3944080,25,0,5,5,17
3971184,25,0,5,0,2
4014640,25,0,4,0,9
4172896,25,0,4,0,4
4202576,25,0,5,5,20
4350192,25,0,4,5,17
4526816,25,0,5,4,14
4584608,25,0,5,0,2
4609472,25,0,5,5,13
4651696,25,0,5,0,2
4672416,25,0,5,5,11
4680816,25,0,5,0,10
4707472,25,0,5,0,10
4722928,25,0,5,5,30
4757312,25,0,5,0,1
4769856,25,0,4,0,3
4788896,25,0,4,0,4
4843104,25,0,5,0,10
4906496,25,0,5,4,8
4923296,25,0,4,4,12
4930912,25,0,5,4,19
4937744,25,0,3,5,11
5030592,25,0,5,5,9
5035968,25,0,5,0,1
5151776,25,0,1,0,2
5202960,25,0,5,5,13
5257168,25,0,3,4,10
5266128,25,0,4,0,6
5272736,25,0,5,5,15
5307008,25,0,3,0,2
5328848,25,0,5,3,5
5337136,25,0,4,0,4
5340272,25,0,5,5,6
5342400,25,0,5,0,1
5421360,25,0,4,0,1
5436928,25,0,5,4,6
5460672,25,0,4,5,7
5551280,25,0,4,0,3
5551392,25,0,5,4,8
5560240,25,0,4,5,7
5614112,25,0,4,5,11
5619264,25,0,4,0,1
5625200,25,0,4,4,10
5663280,25,0,5,0,6
5821088,25,0,4,0,4
5968928,25,0,5,5,15
6050912,25,0,5,0,2
6094928,25,0,4,0,5
6387136,25,0,5,4,6
1124592,25,1,5,4,8
1141168,25,1,5,5,17
1167824,25,1,5,0,2
1171968,25,1,1,0,5
1174544,25,1,5,0,2
1186640,25,1,5,5,15
1204224,25,1,5,4,6
1206464,25,1,5,0,4
1259328,25,1,4,4,7
1296512,25,1,5,0,4
1304352,25,1,5,5,9
1376704,25,1,4,5,6
1449952,25,1,5,5,7
1494976,25,1,5,3,6
1536752,25,1,5,5,9
1560720,25,1,4,5,15
1632736,25,1,5,0,1
1646624,25,1,4,5,15
1670368,25,1,5,0,10
1680000,25,1,5,5,14
1785728,25,1,5,0,1
1815520,25,1,5,0,2
1971648,25,1,5,5,7
2005024,25,1,5,0,3
2059008,25,1,3,4,19
2060912,25,1,5,0,1
2076368,25,1,3,4,14
2106384,25,1,4,0,4
2134496,25,1,4,5,6
2167312,25,1,5,2,12
2190048,25,1,5,5,9
2196880,25,1,5,5,6
2211664,25,1,4,5,13
2222528,25,1,5,0,4
2363312,25,1,4,4,6
2379216,25,1,4,4,5
2529296,25,1,5,5,13
2639952,25,1,5,5,14
2700432,25,1,5,4,6
2819264,25,1,5,4,9
2956688,25,1,5,4,5
2981776,25,1,4,5,20
3142160,25,1,5,0,2
3186736,25,1,4,0,4
3321360,25,1,5,5,7
3322704,25,1,3,5,6
3373440,25,1,5,5,15
3428656,25,1,5,0,8
3481408,25,1,5,3,5
3523296,25,1,5,5,11
3679648,25,1,3,5,20
3759168,25,1,5,4,9
3858288,25,1,5,5,15
3885392,25,1,5,0,4
3964576,25,1,5,0,1
4006464,25,1,4,5,20
4019680,25,1,4,5,20
4316144,25,1,5,5,13
4640720,25,1,5,4,8
5084352,25,1,5,0,1
5098128,25,1,4,4,9
5279344,25,1,5,0,4
5295696,25,1,5,0,4
5374880,25,1,5,5,20
5416992,25,1,5,0,6
5525408,25,1,5,4,14
5615792,25,1,4,0,8
5742240,25,1,4,4,5
5777744,25,1,5,5,7
5790400,25,1,5,0,5
5877312,25,1,5,5,8
5901168,25,1,5,0,2
5951120,25,1,4,0,2
5951680,25,1,5,0,1
5987072,25,1,5,0,10
6427120,25,1,4,0,4
1124144,20,0,5,5,13
1126608,20,0,5,2,11
1128512,20,0,5,4,10
1140384,20,0,4,0,8
1142848,20,0,3,0,2
1155504,20,0,4,0,5
1156624,20,0,5,0,2
1164912,20,0,4,0,3
1166144,20,0,5,0,2
1171408,20,0,5,4,5
1175776,20,0,4,5,7
1185408,20,0,4,0,4
1188880,20,0,5,4,7
1213184,20,0,4,0,6
1217776,20,0,5,5,9
