,index,product_id,category_id,subcategory_id,manufacturer_id,selling_price_per_unit
10196,6369107,2783424,1123024,1127952,1129744,0.0
10197,6372290,4170880,1123472,1137808,1150128,80.0
10198,6377623,4126640,1122800,1140832,1188992,60.0
10199,6380401,4109840,1123248,1128512,1147328,267.75
10200,6401128,4007920,1123248,1126048,1194368,350.0
10201,6411393,2568608,1122464,1131088,1166368,266.25
10202,6411725,4150720,1122576,1125152,1197728,105.0
10203,6419086,3987872,1122464,1124480,1194032,45.75
10204,6422410,3373888,1123024,1128288,1124368,74.54
10205,6424561,2447200,1122464,1124144,1133440,0.0
10206,6426297,4108832,1122352,1123696,1121120,303.6
10207,6429064,4080944,1122688,1138704,1151024,0.0
10208,6432174,4104800,1123024,1127728,1140496,0.0
10209,6436680,4095840,1123024,1127952,1140496,144.73
10210,6438798,4166960,1123136,1128960,1140496,62.3
10211,6439710,4166288,1124144,1134672,1134336,214.83
10212,6441455,4074784,1122912,1135120,1128624,297.5
10213,6447777,4093712,1123136,1134784,1125040,0.0
10214,6449130,2522128,1123024,1127840,1128176,195.0
10215,6451025,4059104,1123248,1129520,1136016,49.17
10216,6454254,1355760,1122352,1123808,1136240,136.3
10217,6456739,3465056,1122800,1137472,1188992,199.5
10218,6456967,4079824,1122464,1124480,1151024,0.0
10219,6458020,4134368,1122800,1140832,1197056,49.5
10220,6458541,4060448,1122800,1134448,1130528,112.5
10221,6465368,2130240,1123024,1127728,1131872,48.75
10222,6466075,2447872,1124480,1140272,1120784,879.19
10223,6484263,3725120,1122464,1124816,1191232,42.0
10224,6485501,4110176,1123248,1128512,1147328,267.75
10225,6495964,4131792,1122800,1140832,1197056,29.5
10226,6498661,4177152,1123024,1128064,1136352,362.72
10227,6501798,4108272,1122576,1125264,1134896,0.0
10228,6502092,3986416,1122912,1127168,1123472,148.36
10229,6505874,2267664,1123248,1129632,1133216,0.0
10230,6512443,4130896,1122800,1140832,1197056,24.5
10231,6513969,1555792,1123248,1129632,1133216,0.0
10232,6516656,3363696,1123696,1133552,1188320,112.0
10233,6517375,3974544,1123024,1127728,1124368,219.95
10234,6518184,4110064,1123248,1128512,1147328,267.75
10235,6519641,4047792,1123248,1129632,1130528,69.12
10236,6521537,4104688,1122800,1134448,1196384,0.0
10237,6526304,4006576,1122464,1124032,1194032,22.75
10238,6526697,4130448,1122800,1140832,1197056,24.5
10239,6529631,3772160,1122800,1135008,1128176,375.65
10240,6531400,4134144,1122800,1140832,1197056,49.5
10241,6532142,4124512,1122800,1140832,1188992,72.0
10242,6536245,4079264,1122464,1124480,1151024,0.0
10243,6537552,3287088,1123024,1128288,1136352,0.0
10244,6539231,4159904,1122912,1127168,1133552,80.0
10245,6539697,4131232,1122800,1140832,1197056,24.5
10246,6546263,4134032,1122800,1140832,1197056,49.5
10247,6548054,3361232,1123696,1131984,1188320,581.25
10248,6554367,4131456,1122800,1140832,1197056,29.5
