,customer_id,Recency_flag,monetary_flag
8713,9537360,5,1
8719,9539264,5,1
8728,9546096,5,1
8744,9558416,5,1
8749,9563120,5,1
8752,9564912,5,1
8791,9584176,5,1
8798,9588880,5,1
8810,9598064,5,1
8817,9605008,5,1
8830,9617104,5,1
8845,9627968,5,1
8859,9632672,5,1
8881,9649472,5,1
8886,9651712,5,1
8919,9677472,5,1
8928,9684528,5,1
8953,9704688,5,1
8963,9711296,5,1
8982,9724624,5,1
9017,9747248,5,1
9018,9747472,5,1
9020,9747808,5,1
9044,9759456,5,1
9049,9763152,5,1
9056,9767968,5,1
9058,9769872,5,1
9061,9770880,5,1
9081,9779168,5,1
9140,9821504,5,1
9196,9863056,5,1
9232,9884896,5,1
9240,9888592,5,1
9251,9896880,5,1
9257,9902256,5,1
9277,9913792,5,1
9294,9923088,5,1
9314,9933616,5,1
9340,9945488,5,1
9342,9945824,5,1
9362,9962176,5,1
9385,9974944,5,1
9391,9979872,5,1
9408,9994544,5,1
9434,10015040,5,1
9446,10022320,5,1
9467,10039344,5,1
9472,10042592,5,1
9498,10059056,5,1
9501,10061072,5,1
9537,10077536,5,1
9579,10100608,5,1
9599,10118304,5,1
9617,10137792,5,1
9619,10138352,5,1
9649,10158624,5,1
9690,10184832,5,1
9720,10206336,5,1
9736,10219216,5,1
9739,10221792,5,1
9747,10230640,5,1
9750,10235792,5,1
9760,10241280,5,1
9765,10244416,5,1
9773,10253600,5,1
9774,10254048,5,1
9777,10255504,5,1
9781,10258304,5,1
9794,10266368,5,1
9798,10267712,5,1
9802,10270064,5,1
9819,10288656,5,1
9846,10313408,5,1
9848,10315424,5,1
9860,10322032,5,1
9896,10352272,5,1
9898,10353504,5,1
9907,10361008,5,1
9911,10362576,5,1
9940,10383744,5,1
9953,10398976,5,1
9964,10408272,5,1
10011,10440304,5,1
10020,10446016,5,1
10024,10448032,5,1
10032,10454864,5,1
10035,10456208,5,1
10037,10458448,5,1
10054,10472000,5,1
10062,10477712,5,1
10066,10480736,5,1
10075,10484096,5,1
10078,10486896,5,1
10095,10500000,5,1
10101,10503920,5,1
10115,10514896,5,1
10121,10519152,5,1
10139,10531808,5,1
10141,10532592,5,1
10153,10544352,5,1
10160,10549168,5,1
10167,10555104,5,1
10183,10568208,5,1
10194,10576048,5,1
10197,10577616,5,1
10199,10578176,5,1
10203,10578960,5,1
10206,10580640,5,1
10208,10582992,5,1
10217,10589712,5,1
10219,10590496,5,1
10232,10600128,5,1
10233,10600240,5,1
10236,10602592,5,1
10239,10607296,5,1
10256,10622640,5,1
10272,10642352,5,1
10324,10677856,5,1
10393,10729936,5,1
10462,10776640,5,1
10472,10787616,5,1
10476,10793440,5,1
10493,10812144,5,1
10513,10835440,5,1
10531,10854592,5,1
10536,10862320,5,1
10544,10869600,5,1
10558,10882480,5,1
10559,10884496,5,1
10588,10908912,5,1
10601,10919888,5,1
10602,10921456,5,1
10624,10950240,5,1
10632,10954720,5,1
10659,10975216,5,1
10675,10989328,5,1
10676,10989552,5,1
10706,11014416,5,1
10709,11018112,5,1
10723,11029312,5,1
10743,11039392,5,1
10746,11042976,5,1
10750,11045552,5,1
10752,11046672,5,1
10766,11062576,5,1
10767,11062688,5,1
10781,11075904,5,1
10794,11086096,5,1
10804,11095168,5,1
10820,11113312,5,1
10822,11117120,5,1
10840,11128656,5,1
10868,11160240,5,1
10909,11196976,5,1
10935,11223296,5,1
10964,11249616,5,1
11004,11275600,5,1
11006,11276832,5,1
11011,11278512,5,1
11019,11282544,5,1
11038,11295984,5,1
11039,11296656,5,1
11065,11315248,5,1
11067,11315584,5,1
11093,11332944,5,1
11094,11334064,5,1
11097,11334848,5,1
11101,11337760,5,1
11134,11361616,5,1
11136,11364976,5,1
11144,11369232,5,1
11150,11376512,5,1
11151,11377408,5,1
11202,11413136,5,1
11207,11415152,5,1
11249,11436320,5,1
11256,11439904,5,1
11265,11442816,5,1
11267,11444944,5,1
11270,11446848,5,1
11287,11457264,5,1
11294,11462192,5,1
11312,11473952,5,1
11336,11489072,5,1
11340,11489968,5,1
11344,11492320,5,1
11361,11508000,5,1
11367,11513712,5,1
11369,11516624,5,1
11371,11518080,5,1
11377,11522000,5,1
11387,11530512,5,1
11391,11531744,5,1
11421,11553696,5,1
11456,11589200,5,1
11457,11589312,5,1
11464,11596928,5,1
11476,11609696,5,1
11504,11635120,5,1
11527,11650688,5,1
11554,11673424,5,1
11569,11681152,5,1
11570,11681488,5,1
11583,11689888,5,1
11589,11694256,5,1
11590,11695264,5,1
11612,11708592,5,1
11614,11709600,5,1
11618,11713072,5,1
11620,11715424,5,1
11639,11732224,5,1
11661,11751488,5,1
11670,11759216,5,1
11674,11760672,5,1
