,level_0,index,Sub_flag,subscription,customer_id,Recency_flag,Refreq,points
17839,20549,23007,4,1,21780976,5,0,8
17840,20551,24052,4,1,21783328,2,0,6
17841,20570,6303,4,1,21825552,4,0,3
17842,20586,23124,4,1,21848624,5,5,7
17843,20591,5969,4,1,21855904,5,5,8
17844,20595,12095,4,1,21861056,5,4,7
17845,20628,5965,4,1,21892976,5,4,7
17846,20650,6562,4,1,21932736,4,0,1
17847,20702,22500,4,1,21993664,5,5,7
17848,20718,24907,4,1,22012928,5,0,4
17849,20735,29892,4,1,22044848,5,0,9
17850,20742,5485,4,1,22050672,4,0,4
17851,20747,8623,4,1,22052240,4,0,4
17852,20761,19064,4,1,22081024,4,5,20
17853,20786,2316,4,1,22113056,5,0,2
17854,20794,8425,4,1,22118880,5,0,5
17855,20826,16338,4,1,22166256,5,0,2
17856,20857,23822,4,1,22205792,5,0,1
17857,20874,26836,4,1,22219456,5,0,2
17858,20898,29167,4,1,22246336,4,5,13
17859,20922,12130,4,1,22281840,5,0,1
17860,20935,17742,4,1,22299872,5,4,6
17861,20950,25940,4,1,22317568,5,0,10
17862,20957,28295,4,1,22321824,4,5,11
17863,20979,1551,4,1,22343888,4,0,2
17864,20991,2165,4,1,22360800,5,0,2
17865,20998,2032,4,1,22363040,2,5,9
17866,21017,4371,4,1,22385440,5,0,2
17867,21020,5444,4,1,22388016,5,5,15
17868,21026,7607,4,1,22396640,4,0,2
17869,21027,7904,4,1,22399104,2,0,6
17870,21061,16407,4,1,22439760,4,5,20
17871,21107,8563,4,1,22490160,5,5,9
17872,21119,10102,4,1,22500352,2,1,2
17873,21134,15463,4,1,22518272,5,0,8
17874,21153,10821,4,1,22545824,5,0,8
17875,21164,132,4,1,22561280,5,4,12
17876,21217,6762,4,1,22650656,4,0,10
17877,21242,10342,4,1,22688512,5,0,10
17878,21276,15995,4,1,22738016,5,5,13
17879,21298,19536,4,1,22757280,4,0,10
17880,21328,23586,4,1,22797152,5,5,6
17881,21372,9317,4,1,22852368,4,5,10
17882,21384,14434,4,1,22875888,5,5,9
17883,21442,13659,4,1,22951600,5,4,8
17884,21517,6683,4,1,23058672,4,5,11
17885,21551,10380,4,1,23098096,5,0,3
17886,21559,11195,4,1,23106720,4,0,6
17887,21584,13518,4,1,23153648,5,4,14
17888,21656,21452,4,1,23262288,5,4,5
17889,21671,22684,4,1,23274272,4,0,1
17890,21672,22773,4,1,23276736,5,0,1
17891,21678,23646,4,1,23279760,5,4,10
17892,21679,23811,4,1,23279872,4,5,8
17893,21718,238,4,1,23325456,5,4,10
17894,21750,11962,4,1,23359168,5,5,13
17895,21761,15075,4,1,23375408,5,0,2
17896,21790,23175,4,1,23418752,5,0,2
17897,21802,1230,4,1,23434432,5,4,5
17898,21837,4952,4,1,23490768,5,4,10
17899,21862,8727,4,1,23526832,5,0,1
17900,21865,9041,4,1,23532544,5,0,8
17901,21878,10535,4,1,23562112,4,4,8
17902,21900,12274,4,1,23602656,5,4,10
17903,21904,12379,4,1,23614416,4,5,15
17904,21943,15460,4,1,23702896,5,5,30
17905,21997,19600,4,1,23774576,4,0,2
